Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Drib_Tkl,Drib_Att,Drib_Tkl%,Drib_Past,Press,Press_Succ,Press_%,Press_Def 3rd,Press_Mid 3rd,Press_Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,28,1990,27.9,1.83,1.15,1.18,0.57,0.07,0.79,1.94,40.7,1.15,9.57,2.65,27.7,5.70,2.54,1.33,2.04,0.47,0.04,1.58,0.82,2.65,2.40,0.11,Matches
2,Max Aarons\Max-Aarons,eng ENG,DF,Norwich City,19,2000,36.0,1.78,1.00,1.11,0.47,0.19,0.58,1.25,46.7,0.67,13.5,3.67,27.1,7.86,3.94,1.72,2.78,0.83,0.06,1.94,0.56,2.33,2.39,0.00,Matches
3,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,21,1997,24.6,0.57,0.41,0.16,0.20,0.20,0.16,0.65,25.0,0.49,17.5,5.28,30.2,0.77,6.91,9.80,0.93,0.20,0.00,0.73,0.20,0.77,1.06,0.00,Matches
4,Che Adams\Che-Adams,eng ENG,FW,Southampton,23,1996,12.3,0.65,0.49,0.16,0.33,0.16,0.00,0.41,0.0,0.41,18.8,4.72,25.1,0.73,7.89,10.2,0.81,0.08,0.00,0.73,0.24,0.89,0.81,0.00,Matches
5,Adrián\Adrian,es ESP,GK,Liverpool,32,1987,9.7,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.0,0.10,0.21,0.00,0.0,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.21,Matches
6,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,31,1988,16.1,0.43,0.31,0.00,0.25,0.19,0.06,0.37,16.7,0.31,13.8,3.48,25.2,0.81,4.60,8.39,0.93,0.12,0.00,0.81,0.12,0.56,0.19,0.00,Matches
7,Albian Ajeti\Albian-Ajeti,ch SUI,MFFW,West Ham,22,1997,1.5,0.67,0.00,0.00,0.00,0.67,0.00,0.00,,0.00,14.0,0.67,4.8,2.00,4.00,8.00,0.00,0.00,0.00,0.00,0.67,1.33,0.00,0.00,Matches
8,Nathan Aké\Nathan-Ake,nl NED,DF,Bournemouth,24,1995,27.8,0.90,0.40,0.72,0.18,0.00,0.25,0.86,29.2,0.61,7.99,2.37,29.7,5.25,2.37,0.36,2.12,1.08,0.00,1.04,0.97,1.87,6.33,0.04,Matches
9,Marc Albrighton\Marc-Albrighton,eng ENG,MFDF,Leicester City,29,1989,9.6,2.40,1.15,1.15,1.15,0.10,0.73,3.02,24.1,2.29,19.9,6.77,34.0,4.79,9.79,5.31,1.88,0.10,0.00,1.77,0.94,3.33,0.73,0.00,Matches
10,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,30,1989,32.9,1.34,0.73,0.73,0.52,0.09,0.43,1.09,38.9,0.67,7.84,2.52,32.2,5.14,2.40,0.30,2.10,1.03,0.03,1.06,0.33,1.67,6.96,0.09,Matches
11,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,20,1998,35.3,1.64,0.71,1.08,0.40,0.17,0.96,2.41,40.0,1.44,11.6,3.71,32.0,5.47,3.48,2.63,1.50,0.25,0.00,1.25,0.96,2.61,2.78,0.06,Matches
12,Alisson\Alisson,br BRA,GK,Liverpool,26,1992,28.3,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.0,0.11,0.18,0.04,20.0,0.18,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.07,0.04,Matches
13,Dele Alli\Dele-Alli,eng ENG,MFFW,Tottenham,23,1996,20.5,2.00,1.41,0.49,1.17,0.34,0.39,1.56,25.0,1.17,23.4,6.59,28.2,5.27,11.4,6.68,2.59,0.34,0.00,2.24,0.34,2.34,0.83,0.00,Matches
14,Miguel Almirón\Miguel-Almiron,py PAR,MFFW,Newcastle Utd,25,1994,33.6,1.85,1.07,1.01,0.51,0.33,0.39,1.37,28.3,0.98,21.8,5.21,23.9,7.08,8.24,6.46,1.31,0.03,0.00,1.28,0.60,2.44,0.48,0.00,Matches
15,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,28,1990,15.9,1.70,1.19,1.07,0.38,0.25,0.31,1.76,17.9,1.45,13.5,5.53,40.9,5.60,5.28,2.64,1.89,0.06,0.00,1.82,0.88,2.58,3.02,0.00,Matches
