Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,28,1990,27.9,55.8,42.1,13.7,2.22,0.00,7.96,1.25,1.58,1.61,0.82,0.54,0.11,33.3,11.5,11.0,35.7,9.18,0.75,9.86,0.11,44.0,0.29,0.50,1.29,1.68,Matches
2,Max Aarons\Max-Aarons,eng ENG,DF,Norwich City,19,2000,36.0,46.8,37.7,9.11,0.75,0.03,8.06,0.28,1.50,0.00,0.00,0.00,0.00,28.3,10.9,7.64,6.08,30.6,1.25,8.36,0.06,36.6,0.00,0.92,0.61,1.94,Matches
3,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,21,1997,24.6,16.7,14.6,2.11,0.00,0.00,6.06,0.20,0.41,0.00,0.00,0.00,0.00,10.5,3.29,2.93,1.26,12.4,0.69,0.00,0.69,11.7,0.04,0.24,0.33,1.06,Matches
4,Che Adams\Che-Adams,eng ENG,FW,Southampton,23,1996,12.3,21.5,20.9,0.65,0.00,0.24,5.93,0.65,0.98,0.00,0.00,0.00,0.00,13.0,5.45,3.09,1.46,17.2,0.89,0.00,0.41,15.0,0.08,0.73,0.65,1.63,Matches
5,Adrián\Adrian,es ESP,GK,Liverpool,32,1987,9.7,32.4,22.6,9.79,2.78,0.00,4.12,1.24,0.00,0.00,0.00,0.00,0.00,15.5,2.47,14.4,3.20,22.4,0.10,0.00,5.05,23.4,0.00,0.93,0.00,0.10,Matches
6,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,31,1988,16.1,22.8,21.7,1.12,0.06,0.31,5.59,0.06,0.50,0.00,0.00,0.00,0.00,17.0,4.41,1.43,2.55,18.8,0.68,0.06,0.56,17.6,0.00,0.25,0.68,0.93,Matches
7,Albian Ajeti\Albian-Ajeti,ch SUI,MFFW,West Ham,22,1997,1.5,12.0,11.3,0.67,0.00,0.00,3.33,0.00,0.00,0.00,0.00,0.00,0.00,4.00,5.33,2.67,1.33,8.00,2.00,0.00,0.00,10.0,0.00,0.00,0.00,0.00,Matches
8,Nathan Aké\Nathan-Ake,nl NED,DF,Bournemouth,24,1995,27.8,42.6,40.6,1.91,1.19,0.04,5.40,0.54,0.07,0.00,0.00,0.00,0.00,30.6,4.82,7.09,30.2,7.52,3.31,0.72,0.04,37.5,0.07,0.40,0.18,0.47,Matches
9,Marc Albrighton\Marc-Albrighton,eng ENG,MFDF,Leicester City,29,1989,9.6,52.8,49.2,3.65,0.00,0.10,8.44,2.60,5.10,1.04,0.21,0.63,0.00,30.4,8.54,13.9,5.31,42.8,1.67,2.60,0.31,35.8,0.00,1.46,1.04,3.13,Matches
10,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,30,1989,32.9,57.6,55.1,2.46,2.19,0.18,6.23,1.98,0.24,0.00,0.00,0.00,0.00,37.6,5.78,14.2,10.3,42.6,3.07,0.27,0.21,47.6,0.30,1.19,0.27,0.36,Matches
11,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,20,1998,35.3,89.2,70.7,18.5,2.44,0.23,11.7,6.43,5.18,4.59,1.22,2.10,0.23,41.7,16.1,31.4,8.87,66.0,2.35,11.4,0.20,63.9,0.31,2.38,0.99,3.14,Matches
12,Alisson\Alisson,br BRA,GK,Liverpool,26,1992,28.3,32.7,24.8,7.92,1.91,0.04,4.63,0.99,0.00,0.00,0.00,0.00,0.00,20.8,3.00,8.83,2.30,24.3,0.07,0.00,4.66,28.1,0.07,0.67,0.11,0.00,Matches
13,Dele Alli\Dele-Alli,eng ENG,MFFW,Tottenham,23,1996,20.5,39.3,36.4,2.83,0.44,0.29,9.51,0.39,0.24,0.20,0.00,0.00,0.05,28.6,6.78,3.85,1.61,34.2,1.46,0.83,0.39,30.3,0.29,0.39,0.78,1.80,Matches
14,Miguel Almirón\Miguel-Almiron,py PAR,MFFW,Newcastle Utd,25,1994,33.6,26.6,26.2,0.39,0.06,0.06,6.16,0.65,1.13,0.03,0.00,0.03,0.00,18.9,4.32,3.39,23.1,1.99,0.86,0.24,0.24,20.3,0.09,0.48,0.92,1.19,Matches
15,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,28,1990,15.9,69.7,59.2,10.5,0.50,0.00,14.3,1.32,3.21,0.06,0.06,0.00,0.00,42.4,14.5,12.8,49.6,5.85,2.77,9.94,0.00,57.6,0.06,0.94,0.69,1.89,Matches
16,Steven Alzate\Steven-Alzate,co COL,MFDF,Brighton,20,1998,13.2,50.3,46.1,4.17,0.38,0.08,10.2,0.68,0.83,0.00,0.00,0.00,0.00,35.7,10.1,4.55,2.27,40.9,2.50,3.79,0.08,42.7,0.08,0.38,1.14,1.21,Matches
17,Ibrahim Amadou\Ibrahim-Amadou,fr FRA,DFMF,Norwich City,26,1993,8.4,43.0,42.1,0.83,0.48,0.00,8.10,0.60,0.12,0.00,0.00,0.00,0.00,33.9,4.17,4.88,2.74,37.4,2.02,0.24,0.12,36.9,0.12,0.48,0.83,0.60,Matches
18,Felipe Anderson\Felipe-Anderson,br BRA,MFFW,West Ham,26,1993,16.6,56.3,54.4,1.87,0.54,0.18,11.3,1.39,1.93,0.30,0.18,0.06,0.00,38.3,10.5,7.53,7.47,45.2,1.87,0.72,0.78,43.7,0.18,0.84,1.69,2.41,Matches
19,Florin Andone\Florin-Andone,ro ROU,MFFW,Brighton,26,1993,0.8,15.0,13.8,1.25,0.00,0.00,6.25,0.00,1.25,1.25,0.00,0.00,0.00,10.0,2.50,2.50,2.50,7.50,2.50,0.00,1.25,10.0,0.00,0.00,1.25,1.25,Matches
20,Angeli?o\Angelino,es ESP,DF,Manchester City,22,1997,4.7,90.6,80.2,10.4,0.64,0.00,14.9,1.49,6.38,0.00,0.00,0.00,0.00,56.8,16.6,17.2,72.8,3.19,3.83,9.79,0.21,71.3,0.21,1.91,1.06,2.98,Matches
21,Faustino Anjorin\Faustino-Anjorin,eng ENG,FW,Chelsea,17,2001,0.2,35.0,35.0,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,35.0,0.00,0.00,0.00,35.0,0.00,0.00,0.00,35.0,0.00,0.00,0.00,0.00,Matches
22,Michail Antonio\Michail-Antonio,eng ENG,FW,West Ham,29,1990,19.6,25.9,23.8,2.04,0.05,0.26,8.62,0.71,2.65,0.00,0.00,0.00,0.00,12.7,6.79,6.38,2.50,17.1,1.53,1.28,0.77,16.6,0.20,0.51,0.31,1.84,Matches
23,Stuart Armstrong\Stuart-Armstrong,sco SCO,MF,Southampton,27,1992,19.1,32.0,31.0,0.99,0.00,0.10,8.22,0.42,0.73,0.00,0.00,0.00,0.00,20.4,7.12,4.50,6.86,22.6,1.15,0.79,0.21,24.4,0.10,0.52,0.84,1.68,Matches
24,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,24,1994,33.0,32.9,25.2,7.70,1.64,0.00,3.61,0.67,0.00,0.00,0.00,0.00,0.00,21.3,1.85,9.76,4.76,23.4,0.06,0.03,4.39,26.6,0.15,0.42,0.27,0.06,Matches
25,Christian Atsu\Christian-Atsu,gh GHA,FWMF,Newcastle Utd,27,1992,8.3,25.1,23.9,1.20,0.24,0.12,5.42,0.96,1.81,0.72,0.24,0.24,0.00,17.7,2.41,4.94,20.2,3.13,1.08,0.12,0.00,19.6,0.24,0.60,0.48,0.72,Matches
26,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,30,1989,34.8,25.5,24.6,0.92,0.00,0.03,6.98,0.29,2.41,0.06,0.00,0.00,0.00,16.0,4.97,4.51,2.84,21.1,0.66,0.06,0.09,17.6,0.06,0.66,0.66,1.44,Matches
27,Serge Aurier\Serge-Aurier,ci CIV,DF,Tottenham,26,1992,30.0,55.1,46.0,9.13,0.53,0.03,9.03,0.70,3.27,0.00,0.00,0.00,0.00,30.5,13.9,10.7,5.70,36.4,3.13,8.60,0.10,42.1,0.10,0.90,1.03,2.33,Matches
28,Jordan Ayew\Jordan-Ayew,gh GHA,FWMF,Crystal Palace,27,1991,35.0,23.9,22.9,1.06,0.06,0.06,7.06,0.29,0.57,0.03,0.00,0.00,0.00,16.8,4.40,2.74,1.43,19.5,0.89,0.34,0.46,19.6,0.09,0.26,0.51,0.91,Matches
29,César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,29,1989,35.9,79.1,67.9,11.2,0.70,0.03,11.2,1.25,3.06,0.00,0.00,0.00,0.00,47.9,14.3,16.8,7.80,56.0,3.04,10.5,0.22,63.1,0.22,1.11,1.09,2.67,Matches
