Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,28,1990,27.9,44.0,55.8,78.8,761.7,332.6,20.7,23.2,89.3,18.7,22.7,82.2,4.01,7.92,50.7,0.07,0.11,-0.04,1.15,3.08,0.90,0.18,4.62,Matches
2,Max Aarons\Max-Aarons,eng ENG,DF,Norwich City,19,2000,36.0,36.6,46.8,78.1,563.7,189.8,20.4,22.8,89.4,13.2,16.6,79.7,2.17,4.83,44.8,0.03,0.09,-0.07,0.67,1.19,0.89,0.36,2.14,Matches
3,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,21,1997,24.6,11.7,16.7,69.9,171.3,33.0,6.46,9.02,71.6,3.13,4.11,76.2,1.06,1.42,74.3,0.12,0.10,0.02,0.73,0.65,0.20,0.00,1.26,Matches
4,Che Adams\Che-Adams,eng ENG,FW,Southampton,23,1996,12.3,15.0,21.5,69.4,238.3,51.3,7.80,10.1,77.4,5.37,7.40,72.5,0.98,1.95,50.0,0.16,0.10,0.07,0.89,0.98,0.24,0.00,1.54,Matches
5,Adrián\Adrian,es ESP,GK,Liverpool,32,1987,9.7,23.4,32.4,72.3,703.0,393.3,3.09,3.09,100.0,10.7,10.9,98.1,9.38,17.9,52.3,0.00,0.00,0.00,0.00,0.31,0.00,0.00,0.00,Matches
6,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,31,1988,16.1,17.6,22.8,77.4,232.7,48.8,10.9,13.2,82.5,5.03,6.46,77.9,0.68,0.81,84.6,0.19,0.15,0.04,0.99,0.75,1.24,0.00,1.99,Matches
7,Albian Ajeti\Albian-Ajeti,ch SUI,MFFW,West Ham,22,1997,1.5,10.0,12.0,83.3,101.3,5.33,8.00,8.00,100.0,1.33,3.33,40.0,0.00,0.00,,0.00,0.07,-0.07,1.33,0.00,0.00,0.00,0.00,Matches
8,Nathan Aké\Nathan-Ake,nl NED,DF,Bournemouth,24,1995,27.8,37.5,42.6,88.1,780.2,252.8,10.9,11.9,91.8,20.3,21.9,92.6,5.97,8.06,74.1,0.07,0.02,0.05,0.14,2.37,0.36,0.00,2.05,Matches
9,Marc Albrighton\Marc-Albrighton,eng ENG,MFDF,Leicester City,29,1989,9.6,35.8,52.8,67.9,644.7,254.6,18.3,21.6,85.0,12.1,16.0,75.3,4.79,12.0,40.0,0.31,0.21,0.10,1.88,3.23,2.08,0.94,5.21,Matches
10,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,30,1989,32.9,47.6,57.6,82.7,1133.9,296.8,10.2,10.9,93.3,26.4,28.5,92.6,10.8,17.4,61.8,0.06,0.03,0.03,0.33,3.95,0.49,0.03,2.64,Matches
11,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,20,1998,35.3,63.9,89.2,71.6,1411.8,566.4,21.6,24.1,89.5,28.7,36.1,79.5,12.6,25.6,49.4,0.37,0.28,0.09,2.41,5.67,2.55,0.85,7.76,Matches
12,Alisson\Alisson,br BRA,GK,Liverpool,26,1992,28.3,28.1,32.7,85.8,787.2,434.8,5.30,5.30,100.0,12.4,12.6,98.9,10.2,14.7,69.5,0.04,0.02,0.02,0.07,0.25,0.04,0.00,0.04,Matches
13,Dele Alli\Dele-Alli,eng ENG,MFFW,Tottenham,23,1996,20.5,30.3,39.3,77.1,501.9,116.3,15.3,18.3,83.7,11.8,13.8,85.2,2.49,4.29,58.0,0.20,0.10,0.10,1.07,2.00,1.17,0.00,3.17,Matches
14,Miguel Almirón\Miguel-Almiron,py PAR,MFFW,Newcastle Utd,25,1994,33.6,20.3,26.6,76.3,321.4,76.6,11.0,12.7,86.4,7.20,9.11,79.1,1.49,2.92,51.0,0.06,0.05,0.01,0.80,1.19,0.71,0.12,1.96,Matches
15,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,28,1990,15.9,57.6,69.7,82.7,1020.1,312.7,24.8,27.8,89.1,26.8,31.1,86.1,5.28,8.36,63.2,0.13,0.14,-0.01,1.64,2.20,1.82,0.88,4.40,Matches
16,Steven Alzate\Steven-Alzate,co COL,MFDF,Brighton,20,1998,13.2,42.7,50.3,84.9,679.4,197.1,22.1,24.7,89.6,17.7,20.3,86.9,2.12,3.18,66.7,0.00,0.05,-0.05,0.98,2.42,1.21,0.15,4.24,Matches
17,Ibrahim Amadou\Ibrahim-Amadou,fr FRA,DFMF,Norwich City,26,1993,8.4,36.9,43.0,85.9,756.5,212.6,11.2,13.0,86.2,20.1,21.7,92.9,5.36,7.62,70.3,0.00,0.00,0.00,0.12,1.67,0.12,0.00,1.31,Matches
18,Felipe Anderson\Felipe-Anderson,br BRA,MFFW,West Ham,26,1993,16.6,43.7,56.3,77.6,726.2,211.1,23.9,28.3,84.6,14.2,18.0,78.6,4.34,6.20,69.9,0.24,0.19,0.05,1.57,2.95,1.99,0.36,5.12,Matches
19,Florin Andone\Florin-Andone,ro ROU,MFFW,Brighton,26,1993,0.8,10.0,15.0,66.7,96.3,25.0,7.50,10.0,75.0,2.50,3.75,66.7,0.00,0.00,,0.00,0.00,0.00,1.25,0.00,0.00,0.00,0.00,Matches
20,Angeli?o\Angelino,es ESP,DF,Manchester City,22,1997,4.7,71.3,90.6,78.6,1290.0,364.0,29.8,32.8,90.9,33.2,40.9,81.3,7.45,14.0,53.0,0.00,0.26,-0.26,1.91,7.02,2.98,1.49,8.30,Matches
21,Faustino Anjorin\Faustino-Anjorin,eng ENG,FW,Chelsea,17,2001,0.2,35.0,35.0,100.0,605.0,70.0,15.0,15.0,100.0,20.0,20.0,100.0,0.00,0.00,,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,Matches
22,Michail Antonio\Michail-Antonio,eng ENG,FW,West Ham,29,1990,19.6,16.6,25.9,64.1,261.6,66.1,9.34,11.8,78.9,4.90,7.86,62.3,1.58,3.37,47.0,0.15,0.14,0.02,1.07,1.07,0.71,0.41,1.63,Matches
23,Stuart Armstrong\Stuart-Armstrong,sco SCO,MF,Southampton,27,1992,19.1,24.4,32.0,76.1,380.9,124.3,13.4,15.8,84.7,8.22,10.4,78.9,1.94,3.30,58.7,0.16,0.06,0.10,0.84,1.73,1.26,0.21,3.14,Matches
24,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,24,1994,33.0,26.6,32.9,80.8,717.4,372.1,3.30,3.33,99.1,15.3,15.5,98.8,7.97,14.1,56.6,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,Matches
25,Christian Atsu\Christian-Atsu,gh GHA,FWMF,Newcastle Utd,27,1992,8.3,19.6,25.1,78.4,312.2,67.8,10.4,11.3,91.5,6.99,8.43,82.9,1.57,3.61,43.3,0.36,0.11,0.25,1.57,0.24,1.20,0.48,1.57,Matches
26,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,30,1989,34.8,17.6,25.5,68.9,269.5,74.3,9.89,12.4,79.4,6.38,9.28,68.7,0.95,2.10,45.2,0.09,0.08,0.00,0.66,0.78,1.35,0.40,2.24,Matches
27,Serge Aurier\Serge-Aurier,ci CIV,DF,Tottenham,26,1992,30.0,42.1,55.1,76.3,699.1,246.7,21.3,23.8,89.5,16.9,21.8,77.3,3.30,6.83,48.3,0.17,0.09,0.07,1.00,2.10,1.33,0.53,3.70,Matches
28,Jordan Ayew\Jordan-Ayew,gh GHA,FWMF,Crystal Palace,27,1991,35.0,19.6,23.9,81.9,277.0,54.0,12.0,13.7,87.5,5.17,6.23,83.0,1.37,2.09,65.8,0.06,0.05,0.00,0.74,1.20,0.63,0.00,1.40,Matches
29,César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,29,1989,35.9,63.1,79.1,79.9,1124.3,431.4,26.6,30.0,88.8,30.2,35.7,84.7,5.26,10.3,51.2,0.17,0.16,0.01,1.20,4.12,1.67,0.78,5.07,Matches
30,Eric Bailly\Eric-Bailly,ci CIV,DF,Manchester Utd,25,1994,1.7,37.6,42.4,88.9,744.7,254.7,12.4,14.1,87.5,20.0,21.2,94.4,5.29,6.47,81.8,0.00,0.00,0.00,0.00,1.18,0.00,0.00,2.35,Matches
31,Leighton Baines\Leighton-Baines,eng ENG,DF,Everton,34,1984,4.5,37.3,46.4,80.4,656.0,244.2,18.2,19.3,94.3,16.4,19.1,86.0,2.67,6.67,40.0,0.00,0.16,-0.16,1.33,1.33,1.56,1.11,2.89,Matches
32,Fabián Balbuena\Fabian-Balbuena,py PAR,DF,West Ham,27,1991,13.1,27.6,37.2,74.1,621.1,220.7,7.71,9.39,82.1,13.7,15.9,86.1,5.95,11.0,54.2,0.00,0.00,0.00,0.00,1.83,0.15,0.00,2.29,Matches
33,George Baldock\George-Baldock,eng ENG,DF,Sheffield Utd,26,1993,38.0,30.9,40.8,75.6,474.9,172.1,18.2,20.1,90.3,9.58,12.3,77.9,2.24,5.55,40.3,0.08,0.07,0.01,0.71,1.58,1.18,0.74,2.32,Matches
