Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,28,1990,27.9,65.9,3.48,19.0,31.6,19.0,1.79,52.3,0.65,1.29,50.0,0.65,0.07,35.8,202.5,112.2,38.7,35.6,92.1,0.75,0.57,Matches
2,Max Aarons\Max-Aarons,eng ENG,DF,Norwich City,19,2000,36.0,59.3,4.94,22.3,25.1,16.5,1.44,50.6,1.36,2.61,52.1,1.53,0.06,36.7,263.6,151.1,38.9,34.6,88.9,1.08,1.33,Matches
3,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,21,1997,24.6,30.0,1.26,2.40,14.4,14.3,6.71,28.0,0.85,1.46,58.3,0.89,0.00,17.4,94.2,47.3,43.7,20.1,46.0,2.89,1.91,Matches
4,Che Adams\Che-Adams,eng ENG,FW,Southampton,23,1996,12.3,35.9,0.81,2.85,16.6,19.1,5.53,35.2,1.22,2.20,55.6,1.22,0.08,25.0,149.7,68.9,53.4,25.6,47.9,3.58,2.36,Matches
5,Adrián\Adrian,es ESP,GK,Liverpool,32,1987,9.7,34.8,31.0,34.8,0.00,0.00,0.00,25.2,0.00,0.00,,0.00,0.00,16.8,66.1,36.6,16.0,15.9,99.4,0.00,0.00,Matches
6,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,31,1988,16.1,35.5,0.12,1.30,13.0,23.8,9.57,34.2,1.68,2.80,60.0,1.74,0.12,26.6,157.5,87.2,48.4,28.0,57.7,1.49,2.55,Matches
7,Albian Ajeti\Albian-Ajeti,ch SUI,MFFW,West Ham,22,1997,1.5,22.0,0.00,0.67,6.00,16.0,6.00,21.3,0.00,0.00,,0.00,0.00,10.7,50.0,10.7,42.7,16.0,37.5,3.33,2.00,Matches
8,Nathan Aké\Nathan-Ake,nl NED,DF,Bournemouth,24,1995,27.8,54.2,9.96,33.2,21.4,3.09,1.22,52.3,0.18,0.18,100.0,0.18,0.00,30.4,189.2,104.5,34.1,32.4,94.9,0.25,0.18,Matches
9,Marc Albrighton\Marc-Albrighton,eng ENG,MFDF,Leicester City,29,1989,9.6,64.8,1.35,11.6,26.9,30.4,2.40,61.1,1.04,3.02,34.5,1.35,0.21,43.8,266.7,122.8,51.5,44.6,86.6,0.94,1.25,Matches
10,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,30,1989,32.9,68.8,10.8,37.3,31.5,3.47,0.67,66.4,0.00,0.06,0.0,0.00,0.00,41.4,198.4,92.9,46.7,45.6,97.7,0.09,0.06,Matches
11,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,20,1998,35.3,99.7,3.00,24.1,46.5,35.2,1.78,81.2,0.74,1.59,46.4,0.85,0.11,59.7,264.5,161.7,66.9,63.2,94.4,1.02,0.62,Matches
12,Alisson\Alisson,br BRA,GK,Liverpool,26,1992,28.3,34.8,28.4,34.5,0.32,0.00,0.00,26.9,0.00,0.00,,0.00,0.00,19.4,74.7,38.5,17.5,17.3,99.2,0.04,0.00,Matches
13,Dele Alli\Dele-Alli,eng ENG,MFFW,Tottenham,23,1996,20.5,55.2,1.80,8.34,28.0,23.0,4.68,52.5,1.56,3.07,50.8,1.76,0.34,36.4,223.6,122.0,53.8,37.7,70.1,2.20,2.73,Matches
14,Miguel Almirón\Miguel-Almiron,py PAR,MFFW,Newcastle Utd,25,1994,33.6,39.0,1.31,9.38,16.5,17.9,2.71,38.6,1.37,2.77,49.5,1.61,0.15,29.0,274.7,155.4,38.1,26.6,69.8,1.79,1.61,Matches
15,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,28,1990,15.9,82.6,1.89,20.5,35.5,32.1,4.53,72.1,0.75,1.19,63.2,0.75,0.00,52.9,299.1,171.8,58.4,52.1,89.3,1.26,1.38,Matches
16,Steven Alzate\Steven-Alzate,co COL,MFDF,Brighton,20,1998,13.2,63.5,2.35,16.4,30.8,20.6,3.33,59.6,2.50,3.79,66.0,2.65,0.30,46.8,289.8,162.2,48.3,42.2,87.3,1.52,2.12,Matches
17,Ibrahim Amadou\Ibrahim-Amadou,fr FRA,DFMF,Norwich City,26,1993,8.4,56.0,12.9,39.2,16.9,1.67,0.48,55.2,0.24,0.36,66.7,0.24,0.00,30.1,119.8,56.9,35.4,34.4,97.3,0.12,0.12,Matches
18,Felipe Anderson\Felipe-Anderson,br BRA,MFFW,West Ham,26,1993,16.6,70.1,1.57,10.0,37.1,31.0,3.98,68.6,3.98,5.84,68.0,4.22,0.30,56.1,443.6,275.5,62.8,53.6,85.3,1.99,2.11,Matches
19,Florin Andone\Florin-Andone,ro ROU,MFFW,Brighton,26,1993,0.8,36.3,3.75,5.00,15.0,20.0,8.75,35.0,2.50,5.00,50.0,2.50,0.00,21.3,272.5,188.8,41.3,20.0,48.5,6.25,2.50,Matches
20,Angeli?o\Angelino,es ESP,DF,Manchester City,22,1997,4.7,101.5,3.40,21.1,42.3,45.5,2.13,91.3,1.06,1.70,62.5,1.06,0.43,68.3,328.7,200.4,76.8,73.0,95.0,0.64,0.85,Matches
21,Faustino Anjorin\Faustino-Anjorin,eng ENG,FW,Chelsea,17,2001,0.2,60.0,0.00,5.00,25.0,30.0,10.0,60.0,5.00,5.00,100.0,5.00,0.00,50.0,335.0,200.0,55.0,40.0,72.7,0.00,5.00,Matches
22,Michail Antonio\Michail-Antonio,eng ENG,FW,West Ham,29,1990,19.6,43.4,0.61,2.40,15.6,28.4,6.38,41.3,3.62,5.46,66.4,3.78,0.15,30.7,230.8,137.8,57.9,31.9,55.2,3.62,2.50,Matches
23,Stuart Armstrong\Stuart-Armstrong,sco SCO,MF,Southampton,27,1992,19.1,46.2,2.51,8.74,21.6,19.3,2.57,45.2,1.62,2.77,58.5,1.73,0.10,31.0,224.1,121.2,38.3,29.3,76.5,1.94,1.52,Matches
24,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,24,1994,33.0,34.4,30.4,34.2,0.15,0.00,0.00,26.7,0.00,0.00,,0.00,0.00,20.6,79.1,45.1,19.6,19.6,100.0,0.00,0.00,Matches
25,Christian Atsu\Christian-Atsu,gh GHA,FWMF,Newcastle Utd,27,1992,8.3,40.0,1.33,10.2,16.0,19.0,2.41,38.9,2.29,4.82,47.5,2.53,0.12,30.7,237.5,141.4,38.7,25.9,67.0,2.53,2.41,Matches
26,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,30,1989,34.8,35.9,0.83,4.57,14.4,19.3,4.83,34.9,0.72,1.41,51.0,0.83,0.00,24.9,178.7,112.0,43.9,27.0,61.5,1.67,1.12,Matches
27,Serge Aurier\Serge-Aurier,ci CIV,DF,Tottenham,26,1992,30.0,68.6,4.00,19.4,29.8,22.7,1.80,59.6,1.53,2.43,63.0,1.53,0.23,39.9,187.3,104.6,43.2,38.2,88.4,1.20,1.03,Matches
28,Jordan Ayew\Jordan-Ayew,gh GHA,FWMF,Crystal Palace,27,1991,35.0,39.0,0.86,5.09,19.2,18.1,3.83,38.0,2.14,3.34,64.1,2.23,0.11,28.9,219.9,109.4,48.1,27.3,56.8,2.83,3.09,Matches
29,César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,29,1989,35.9,91.2,3.70,27.5,43.1,24.4,2.73,80.2,0.42,0.67,62.5,0.47,0.03,54.2,200.2,114.3,62.1,58.4,93.9,0.67,0.36,Matches
30,Eric Bailly\Eric-Bailly,ci CIV,DF,Manchester Utd,25,1994,1.7,51.2,8.82,22.9,29.4,0.00,0.00,51.2,0.59,0.59,100.0,0.59,0.00,34.1,146.5,85.3,30.6,30.6,100.0,0.00,1.18,Matches
31,Leighton Baines\Leighton-Baines,eng ENG,DF,Everton,34,1984,4.5,56.7,4.89,13.3,21.8,22.9,0.22,45.1,0.22,0.44,50.0,0.44,0.00,30.2,111.6,62.4,33.1,30.2,91.3,0.67,0.67,Matches
32,Fabián Balbuena\Fabian-Balbuena,py PAR,DF,West Ham,27,1991,13.1,49.8,7.33,26.7,23.7,2.06,1.22,48.5,0.00,0.00,,0.00,0.00,23.5,135.7,74.7,26.3,25.1,95.6,0.15,0.00,Matches
33,George Baldock\George-Baldock,eng ENG,DF,Sheffield Utd,26,1993,38.0,50.9,2.79,10.9,18.2,24.5,1.68,43.2,1.13,1.76,64.2,1.21,0.00,30.4,197.1,102.3,32.9,27.8,84.4,0.87,0.82,Matches
34,Phil Bardsley\Phil-Bardsley,sco SCO,DF,Burnley,34,1985,21.0,53.8,4.52,16.3,28.2,11.4,0.52,42.8,0.24,0.38,62.5,0.24,0.00,21.9,113.9,57.0,24.8,23.2,93.8,0.29,0.33,Matches
35,Ross Barkley\Ross-Barkley,eng ENG,MF,Chelsea,25,1993,12.3,63.3,1.22,7.56,33.3,27.3,3.41,62.5,2.68,3.41,78.6,2.76,0.08,52.8,318.0,151.4,56.5,50.2,88.9,1.63,3.01,Matches
36,Ashley Barnes\Ashley-Barnes,eng ENG,FW,Burnley,29,1989,15.0,29.0,1.00,3.07,13.0,14.0,3.60,28.4,0.73,1.13,64.7,0.87,0.00,17.1,70.5,30.7,47.1,19.9,42.2,2.73,1.33,Matches
37,Harvey Barnes\Harvey-Barnes,eng ENG,MFFW,Leicester City,21,1997,23.1,44.1,0.61,4.50,18.0,25.5,5.76,44.0,1.60,3.38,47.4,1.86,0.17,33.8,273.9,187.3,48.2,35.6,73.9,2.16,1.73,Matches
38,Chris Basham\Chris-Basham,eng ENG,DF,Sheffield Utd,31,1988,36.0,54.2,6.92,22.3,24.4,10.2,1.17,49.7,0.75,0.89,84.4,0.75,0.00,26.7,148.1,81.2,27.5,25.1,91.5,0.56,0.42,Matches
39,Borja Bastón\Borja-Baston,es ESP,MFFW,Aston Villa,26,1992,0.2,35.0,5.00,5.00,25.0,15.0,5.00,35.0,0.00,0.00,,0.00,0.00,25.0,150.0,95.0,35.0,20.0,57.1,5.00,0.00,Matches
40,Michy Batshuayi\Michy-Batshuayi,be BEL,FW,Chelsea,25,1993,2.7,44.4,0.74,4.81,20.0,22.6,11.9,42.2,1.48,2.96,50.0,2.22,0.00,31.1,193.7,111.9,67.0,32.2,48.1,3.70,1.48,Matches
41,Jan Bednarek\Jan-Bednarek,pl POL,DF,Southampton,23,1996,34.0,57.0,7.65,28.1,29.5,1.32,0.50,55.2,0.06,0.06,100.0,0.06,0.00,26.4,113.7,54.5,28.4,28.0,98.7,0.15,0.03,Matches
42,Héctor Bellerín\Hector-Bellerin,es ESP,DF,Arsenal,24,1995,12.9,64.9,2.64,19.7,33.3,16.4,2.17,55.0,1.24,2.71,45.7,1.63,0.16,37.9,223.8,140.3,42.5,38.8,91.2,0.85,1.24,Matches
43,Ryan Bennett\Ryan-Bennett,eng ENG,DF,Wolves,29,1990,6.7,47.0,7.46,25.2,19.9,4.03,1.04,44.8,0.00,0.00,,0.00,0.00,21.5,71.3,35.4,24.2,23.4,96.9,0.00,0.45,Matches
44,Ryan Bennett\Ryan-Bennett,eng ENG,DF,Leicester City,29,1990,3.7,67.0,3.24,28.4,37.3,5.95,0.00,61.6,0.00,0.00,,0.00,0.00,35.7,196.8,100.5,43.8,41.9,95.7,0.00,0.00,Matches
45,Nabil Bentaleb\Nabil-Bentaleb,dz ALG,MF,Newcastle Utd,24,1994,8.3,58.1,2.89,17.1,36.3,6.75,0.24,56.7,0.72,0.96,75.0,0.72,0.12,32.0,128.3,50.1,36.0,34.7,96.3,0.12,0.48,Matches
46,Christian Benteke\Christian-Benteke,be BEL,FW,Crystal Palace,28,1990,14.0,38.6,2.57,3.71,16.9,19.6,6.64,37.6,1.07,1.79,60.0,1.21,0.00,19.4,134.8,69.1,51.7,28.7,55.5,3.14,2.14,Matches
47,Jóhann Berg Gu?mundsson\Johann-Berg-Gudmundsson,is ISL,MF,Burnley,28,1990,6.9,36.1,1.59,5.22,12.5,21.2,3.91,34.8,0.87,1.16,75.0,0.87,0.14,25.9,170.4,82.8,31.3,23.0,73.6,0.58,1.01,Matches
48,Sander Berge\Sander-Berge,no NOR,MF,Sheffield Utd,21,1998,10.5,47.3,2.29,8.48,21.4,20.0,2.00,46.5,1.33,1.62,82.4,1.43,0.00,29.5,181.7,88.1,34.1,29.4,86.3,0.95,1.52,Matches
49,Steven Bergwijn\Steven-Bergwijn,nl NED,FWMF,Tottenham,21,1997,7.8,45.0,0.51,6.79,21.9,20.5,3.46,43.5,1.28,3.33,38.5,1.67,0.00,30.1,237.4,146.5,43.8,29.9,68.1,1.54,2.05,Matches
50,Bernard\Bernard,br BRA,MFFW,Everton,26,1992,14.2,53.7,0.70,6.69,27.0,24.7,3.52,52.7,2.61,4.37,59.7,2.96,0.07,42.9,268.5,147.7,48.7,38.5,79.0,2.46,2.39,Matches
51,Bernardo\Bernardo,br BRA,DF,Brighton,24,1995,7.5,64.4,4.00,21.3,28.1,18.8,1.87,57.7,1.20,1.60,75.0,1.33,0.00,37.5,229.9,133.7,43.6,38.0,87.2,1.73,1.33,Matches
52,Ryan Bertrand\Ryan-Bertrand,eng ENG,DF,Southampton,29,1989,30.5,65.0,2.26,13.8,30.7,24.2,1.70,51.7,0.26,0.85,30.8,0.30,0.03,32.9,192.0,107.3,39.5,34.9,88.3,0.92,1.08,Matches
53,Muhamed Bešiæ\Muhamed-Besic,ba BIH,MF,Sheffield Utd,26,1992,2.8,48.9,3.21,12.9,21.1,17.5,1.07,48.6,3.21,3.57,90.0,3.21,0.00,34.3,174.6,62.1,34.3,30.0,87.5,0.71,0.71,Matches
54,Philip Billing\Philip-Billing,dk DEN,MF,Bournemouth,23,1996,28.1,58.0,4.77,17.0,28.4,15.4,2.14,56.0,0.71,1.39,51.3,0.82,0.00,30.4,163.4,75.7,37.8,31.7,83.8,1.25,1.07,Matches
55,Yves Bissouma\Yves-Bissouma,ml MLI,MF,Brighton,22,1996,14.0,60.0,2.29,16.2,33.6,14.7,0.86,59.3,1.86,3.07,60.5,2.07,0.14,40.9,293.9,145.2,41.9,38.7,92.5,2.29,2.07,Matches
56,Willy Boly\Willy-Boly,ci CIV,DF,Wolves,28,1991,22.0,56.1,6.73,29.7,27.4,2.14,0.86,55.4,0.45,0.55,83.3,0.45,0.00,30.8,144.0,65.2,34.0,32.6,96.0,0.18,0.32,Matches
57,Gaëtan Bong\Gaetan-Bong,cm CMR,MFDF,Brighton,31,1988,0.7,62.9,0.00,5.71,25.7,32.9,4.29,58.6,0.00,1.43,0.0,0.00,0.00,48.6,212.9,120.0,62.9,50.0,79.5,2.86,2.86,Matches
58,Sofiane Boufal\Sofiane-Boufal,ma MAR,MFFW,Southampton,25,1993,8.5,60.6,0.71,6.24,23.9,37.9,6.24,59.6,6.35,11.3,56.3,7.18,0.35,52.6,452.1,293.1,55.1,44.9,81.6,2.47,4.82,Matches
59,Jarrod Bowen\Jarrod-Bowen,eng ENG,FW,West Ham,22,1996,10.2,41.3,0.78,7.55,15.8,22.9,5.10,38.5,1.57,3.24,48.5,1.67,0.29,30.7,299.6,160.0,34.5,25.4,73.6,1.67,2.16,Matches
60,Robbie Brady\Robbie-Brady,ie IRL,MF,Burnley,27,1992,5.0,49.8,2.60,9.40,20.4,23.6,3.00,47.6,0.80,2.00,40.0,1.00,0.00,29.6,169.4,80.8,37.2,29.8,80.1,2.40,1.80,Matches
61,Jarrad Branthwaite\Jarrad-Branthwaite,eng ENG,DF,Everton,17,2002,3.3,73.6,13.9,42.1,35.5,0.61,0.00,72.1,0.00,0.00,,0.00,0.00,51.5,264.2,134.5,55.5,55.2,99.5,0.30,0.00,Matches
62,Claudio Bravo\Claudio-Bravo,cl CHI,GK,Manchester City,36,1983,3.9,35.1,29.7,34.9,0.26,0.00,0.00,25.9,0.26,0.26,100.0,0.26,0.00,19.5,72.6,37.4,19.7,19.5,98.7,0.00,0.00,Matches
63,Armando Broja\Armando-Broja,al ALB,FW,Chelsea,17,2001,0.1,50.0,0.00,0.00,10.0,40.0,0.00,50.0,0.00,0.00,,0.00,0.00,50.0,150.0,10.0,70.0,50.0,71.4,10.0,10.0,Matches
64,David Brooks\David-Brooks,wal WAL,MF,Bournemouth,22,1997,5.6,42.1,0.71,5.18,15.2,24.6,1.79,38.2,2.32,4.46,52.0,2.50,0.54,29.5,183.0,93.4,39.5,30.4,76.9,1.79,1.43,Matches
65,Josh Brownhill\Josh-Brownhill,eng ENG,MF,Burnley,23,1995,8.9,46.1,3.48,11.0,24.6,12.0,1.01,45.3,0.79,0.79,100.0,0.79,0.00,23.9,104.6,42.1,31.0,27.4,88.4,0.90,0.45,Matches
66,Emi Buendía\Emi-Buendia,ar ARG,FWMF,Norwich City,22,1996,27.4,72.4,2.15,14.4,34.9,28.5,2.08,65.6,3.87,5.07,76.3,4.05,0.11,53.2,299.8,180.8,56.9,48.5,85.1,2.45,3.28,Matches
67,Dan Burn\Dan-Burn,eng ENG,DF,Brighton,27,1992,32.0,70.2,5.41,24.5,34.9,14.9,1.00,61.7,0.78,1.34,58.1,0.84,0.06,38.9,211.8,111.3,44.9,41.7,92.8,0.78,1.16,Matches
68,Sam Byram\Sam-Byram,eng ENG,DF,Norwich City,25,1993,14.4,70.3,6.32,26.7,28.2,18.3,2.85,60.8,0.35,0.97,35.7,0.49,0.14,32.4,155.8,78.3,40.6,36.0,88.5,1.32,0.49,Matches
69,Willy Caballero\Willy-Caballero,ar ARG,GK,Chelsea,37,1981,5.0,35.4,33.2,35.4,0.00,0.00,0.00,29.2,0.00,0.00,,0.00,0.00,23.2,84.4,41.6,22.0,22.0,100.0,0.00,0.00,Matches
