Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,28,1990,27.9,0.11,0.93,0.18,19.2,0.93,0.18,0.08,0.40,20.6,0.11,0.04,0.04,0.09,0.06,0.06,0.02,0.01,Matches
2,Max Aarons\Max-Aarons,eng ENG,DF,Norwich City,19,2000,36.0,0.00,0.39,0.11,28.6,0.39,0.11,0.00,0.00,17.8,0.00,0.00,0.00,0.01,0.01,0.04,-0.01,-0.01,Matches
3,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,21,1997,24.6,0.61,3.58,1.42,39.8,3.58,1.42,0.17,0.43,11.1,0.00,0.00,0.00,0.57,0.57,0.16,0.04,0.04,Matches
4,Che Adams\Che-Adams,eng ENG,FW,Southampton,23,1996,12.3,0.33,3.01,0.73,24.3,3.00,0.73,0.11,0.44,15.2,0.00,0.00,0.00,0.33,0.33,0.11,0.00,0.00,Matches
5,Adrián\Adrian,es ESP,GK,Liverpool,32,1987,9.7,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
6,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,31,1988,16.1,0.99,4.53,1.55,34.2,4.52,1.55,0.19,0.56,12.4,0.00,0.12,0.19,0.87,0.73,0.16,0.12,0.14,Matches
7,Albian Ajeti\Albian-Ajeti,ch SUI,MFFW,West Ham,22,1997,1.5,0.00,2.00,0.00,0.0,1.94,0.00,0.00,,14.2,0.00,0.00,0.00,0.07,0.07,0.04,-0.07,-0.07,Matches
8,Nathan Aké\Nathan-Ake,nl NED,DF,Bournemouth,24,1995,27.8,0.07,0.86,0.25,29.2,0.86,0.25,0.08,0.29,9.7,0.00,0.00,0.00,0.09,0.09,0.10,-0.01,-0.01,Matches
9,Marc Albrighton\Marc-Albrighton,eng ENG,MFDF,Leicester City,29,1989,9.6,0.00,1.04,0.21,20.0,1.04,0.21,0.00,0.00,20.7,0.00,0.00,0.00,0.06,0.06,0.06,-0.06,-0.06,Matches
10,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,30,1989,32.9,0.06,0.49,0.15,31.3,0.49,0.15,0.13,0.40,11.2,0.00,0.00,0.00,0.03,0.03,0.07,0.03,0.03,Matches
11,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,20,1998,35.3,0.11,1.25,0.37,29.5,1.25,0.37,0.09,0.31,22.6,0.34,0.00,0.00,0.08,0.08,0.06,0.03,0.03,Matches
12,Alisson\Alisson,br BRA,GK,Liverpool,26,1992,28.3,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
13,Dele Alli\Dele-Alli,eng ENG,MFFW,Tottenham,23,1996,20.5,0.39,1.90,0.88,46.2,1.90,0.88,0.18,0.39,14.0,0.00,0.05,0.05,0.35,0.31,0.16,0.04,0.03,Matches
14,Miguel Almirón\Miguel-Almiron,py PAR,MFFW,Newcastle Utd,25,1994,33.6,0.12,1.64,0.51,30.9,1.64,0.51,0.07,0.24,15.7,0.00,0.00,0.00,0.19,0.19,0.12,-0.07,-0.07,Matches
15,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,28,1990,15.9,0.25,1.89,0.50,26.7,1.89,0.50,0.13,0.50,16.9,0.06,0.00,0.00,0.13,0.13,0.07,0.13,0.13,Matches
16,Steven Alzate\Steven-Alzate,co COL,MFDF,Brighton,20,1998,13.2,0.00,0.98,0.23,23.1,0.98,0.23,0.00,0.00,16.8,0.00,0.00,0.00,0.09,0.09,0.09,-0.09,-0.09,Matches
17,Ibrahim Amadou\Ibrahim-Amadou,fr FRA,DFMF,Norwich City,26,1993,8.4,0.00,0.71,0.12,16.7,0.71,0.12,0.00,0.00,16.5,0.00,0.00,0.00,0.12,0.12,0.16,-0.12,-0.12,Matches
18,Felipe Anderson\Felipe-Anderson,br BRA,MFFW,West Ham,26,1993,16.6,0.06,1.39,0.48,34.8,1.38,0.48,0.04,0.13,16.7,0.00,0.00,0.00,0.15,0.15,0.11,-0.09,-0.09,Matches
19,Florin Andone\Florin-Andone,ro ROU,MFFW,Brighton,26,1993,0.8,1.25,1.25,1.25,100.0,1.23,1.23,1.00,1.00,6.7,0.00,0.00,0.00,0.13,0.13,0.15,1.13,1.13,Matches
20,Angeli?o\Angelino,es ESP,DF,Manchester City,22,1997,4.7,0.00,1.06,0.00,0.0,1.06,0.00,0.00,,19.1,0.00,0.00,0.00,0.04,0.04,0.04,-0.04,-0.04,Matches
21,Faustino Anjorin\Faustino-Anjorin,eng ENG,FW,Chelsea,17,2001,0.2,0.00,5.00,0.00,0.0,4.50,0.00,0.00,,31.3,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,Matches
22,Michail Antonio\Michail-Antonio,eng ENG,FW,West Ham,29,1990,19.6,0.51,3.42,1.53,44.8,3.41,1.53,0.13,0.30,13.2,0.00,0.05,0.05,0.60,0.56,0.16,-0.09,-0.10,Matches
23,Stuart Armstrong\Stuart-Armstrong,sco SCO,MF,Southampton,27,1992,19.1,0.26,2.41,0.99,41.3,2.41,1.00,0.11,0.26,20.4,0.00,0.00,0.00,0.15,0.15,0.06,0.11,0.11,Matches
24,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,24,1994,33.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
25,Christian Atsu\Christian-Atsu,gh GHA,FWMF,Newcastle Utd,27,1992,8.3,0.00,0.60,0.12,20.0,0.60,0.12,0.00,0.00,19.7,0.00,0.00,0.00,0.02,0.02,0.04,-0.02,-0.02,Matches
26,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,30,1989,34.8,0.63,2.59,1.15,44.4,2.58,1.15,0.22,0.50,15.0,0.06,0.06,0.06,0.45,0.41,0.16,0.18,0.16,Matches
27,Serge Aurier\Serge-Aurier,ci CIV,DF,Tottenham,26,1992,30.0,0.03,0.43,0.13,30.8,0.43,0.13,0.08,0.25,18.7,0.00,0.00,0.00,0.02,0.02,0.04,0.01,0.01,Matches
28,Jordan Ayew\Jordan-Ayew,gh GHA,FWMF,Crystal Palace,27,1991,35.0,0.26,1.60,0.69,42.9,1.60,0.69,0.16,0.38,14.7,0.00,0.00,0.00,0.19,0.19,0.12,0.07,0.07,Matches
29,César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,29,1989,35.9,0.06,0.81,0.17,20.7,0.81,0.17,0.07,0.33,13.2,0.00,0.00,0.00,0.08,0.08,0.09,-0.02,-0.02,Matches
30,Eric Bailly\Eric-Bailly,ci CIV,DF,Manchester Utd,25,1994,1.7,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
31,Leighton Baines\Leighton-Baines,eng ENG,DF,Everton,34,1984,4.5,0.00,0.22,0.00,0.0,0.22,0.00,0.00,,32.4,0.22,0.00,0.00,0.00,0.00,0.03,0.00,0.00,Matches
32,Fabián Balbuena\Fabian-Balbuena,py PAR,DF,West Ham,27,1991,13.1,0.08,0.76,0.31,40.0,0.76,0.31,0.10,0.25,7.2,0.00,0.00,0.00,0.13,0.13,0.17,-0.05,-0.05,Matches
33,George Baldock\George-Baldock,eng ENG,DF,Sheffield Utd,26,1993,38.0,0.05,0.34,0.13,38.5,0.34,0.13,0.15,0.40,16.9,0.00,0.00,0.00,0.02,0.02,0.07,0.03,0.03,Matches
34,Phil Bardsley\Phil-Bardsley,sco SCO,DF,Burnley,34,1985,21.0,0.00,0.57,0.24,41.7,0.57,0.24,0.00,0.00,25.7,0.00,0.00,0.00,0.01,0.01,0.02,-0.01,-0.01,Matches
35,Ross Barkley\Ross-Barkley,eng ENG,MF,Chelsea,25,1993,12.3,0.08,3.25,0.98,30.0,3.26,0.98,0.03,0.08,21.9,0.33,0.00,0.00,0.18,0.18,0.05,-0.10,-0.10,Matches
36,Ashley Barnes\Ashley-Barnes,eng ENG,FW,Burnley,29,1989,15.0,0.40,2.60,0.73,28.2,2.60,0.73,0.13,0.45,15.0,0.00,0.07,0.07,0.37,0.32,0.12,0.03,0.01,Matches
37,Harvey Barnes\Harvey-Barnes,eng ENG,MFFW,Leicester City,21,1997,23.1,0.26,2.64,1.17,44.3,2.64,1.17,0.10,0.22,16.2,0.00,0.00,0.00,0.38,0.38,0.14,-0.12,-0.12,Matches
38,Chris Basham\Chris-Basham,eng ENG,DF,Sheffield Utd,31,1988,36.0,0.00,0.17,0.00,0.0,0.17,0.00,0.00,,12.2,0.00,0.00,0.00,0.01,0.01,0.09,-0.01,-0.01,Matches
39,Borja Bastón\Borja-Baston,es ESP,MFFW,Aston Villa,26,1992,0.2,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
40,Michy Batshuayi\Michy-Batshuayi,be BEL,FW,Chelsea,25,1993,2.7,0.37,5.56,0.74,13.3,5.65,0.75,0.07,0.50,13.1,0.00,0.00,0.00,0.81,0.81,0.15,-0.44,-0.44,Matches
41,Jan Bednarek\Jan-Bednarek,pl POL,DF,Southampton,23,1996,34.0,0.03,0.21,0.03,14.3,0.21,0.03,0.14,1.00,7.4,0.00,0.00,0.00,0.02,0.02,0.12,0.01,0.01,Matches
42,Héctor Bellerín\Hector-Bellerin,es ESP,DF,Arsenal,24,1995,12.9,0.08,0.54,0.16,28.6,0.54,0.16,0.14,0.50,16.9,0.00,0.00,0.00,0.04,0.04,0.07,0.04,0.04,Matches
43,Ryan Bennett\Ryan-Bennett,eng ENG,DF,Wolves,29,1990,6.7,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
44,Ryan Bennett\Ryan-Bennett,eng ENG,DF,Leicester City,29,1990,3.7,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
45,Nabil Bentaleb\Nabil-Bentaleb,dz ALG,MF,Newcastle Utd,24,1994,8.3,0.00,0.48,0.00,0.0,0.48,0.00,0.00,,27.4,0.00,0.00,0.00,0.01,0.01,0.02,-0.01,-0.01,Matches
46,Christian Benteke\Christian-Benteke,be BEL,FW,Crystal Palace,28,1990,14.0,0.14,3.00,1.36,45.2,3.00,1.36,0.05,0.11,12.3,0.00,0.00,0.00,0.36,0.36,0.12,-0.22,-0.22,Matches
47,Jóhann Berg Gu?mundsson\Johann-Berg-Gudmundsson,is ISL,MF,Burnley,28,1990,6.9,0.14,1.59,0.29,18.2,1.59,0.29,0.09,0.50,14.5,0.29,0.00,0.00,0.16,0.16,0.10,-0.01,-0.01,Matches
48,Sander Berge\Sander-Berge,no NOR,MF,Sheffield Utd,21,1998,10.5,0.10,0.48,0.19,40.0,0.48,0.19,0.20,0.50,13.0,0.00,0.00,0.00,0.05,0.05,0.09,0.05,0.05,Matches
49,Steven Bergwijn\Steven-Bergwijn,nl NED,FWMF,Tottenham,21,1997,7.8,0.38,1.15,0.51,44.4,1.15,0.51,0.33,0.75,15.0,0.00,0.00,0.00,0.15,0.15,0.13,0.23,0.23,Matches
50,Bernard\Bernard,br BRA,MFFW,Everton,26,1992,14.2,0.21,0.85,0.28,33.3,0.84,0.28,0.25,0.75,15.7,0.07,0.00,0.00,0.08,0.08,0.09,0.13,0.13,Matches
51,Bernardo\Bernardo,br BRA,DF,Brighton,24,1995,7.5,0.00,0.93,0.27,28.6,0.93,0.27,0.00,0.00,18.1,0.00,0.00,0.00,0.03,0.03,0.04,-0.03,-0.03,Matches
