Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,SCA_PassLive,SCA_PassDead,SCA_Drib,SCA_Sh,SCA_Fld,SCA_Def,GCA,GCA90,GCA_PassLive,GCA_PassDead,GCA_Drib,GCA_Sh,GCA_Fld,GCA_Def,OG,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,28,1990,27.9,2.22,2.23,1.15,0.82,0.11,0.07,0.07,0.00,0.18,0.18,0.11,0.04,0.04,0.00,0.00,0.00,0.00,Matches
2,Max Aarons\Max-Aarons,eng ENG,DF,Norwich City,19,2000,36.0,1.53,1.53,1.17,0.06,0.08,0.08,0.11,0.03,0.08,0.08,0.03,0.03,0.00,0.00,0.03,0.00,0.00,Matches
3,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,21,1997,24.6,2.03,2.03,1.34,0.00,0.24,0.24,0.08,0.12,0.41,0.41,0.16,0.00,0.12,0.08,0.04,0.00,0.00,Matches
4,Che Adams\Che-Adams,eng ENG,FW,Southampton,23,1996,12.3,2.03,2.03,1.22,0.00,0.24,0.16,0.33,0.08,0.41,0.41,0.16,0.00,0.08,0.00,0.16,0.00,0.00,Matches
5,Adrián\Adrian,es ESP,GK,Liverpool,32,1987,9.7,0.21,0.21,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
6,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,31,1988,16.1,3.17,3.16,1.74,0.00,0.56,0.56,0.31,0.00,0.50,0.50,0.25,0.00,0.06,0.12,0.06,0.00,0.00,Matches
7,Albian Ajeti\Albian-Ajeti,ch SUI,MFFW,West Ham,22,1997,1.5,1.33,1.29,1.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
8,Nathan Aké\Nathan-Ake,nl NED,DF,Bournemouth,24,1995,27.8,0.47,0.47,0.25,0.00,0.04,0.14,0.04,0.00,0.07,0.07,0.04,0.00,0.00,0.04,0.00,0.00,0.00,Matches
9,Marc Albrighton\Marc-Albrighton,eng ENG,MFDF,Leicester City,29,1989,9.6,2.71,2.70,2.29,0.21,0.10,0.10,0.00,0.00,0.52,0.52,0.52,0.00,0.00,0.00,0.00,0.00,0.00,Matches
10,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,30,1989,32.9,0.64,0.64,0.55,0.00,0.00,0.03,0.00,0.06,0.09,0.09,0.06,0.00,0.00,0.00,0.00,0.03,0.00,Matches
11,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,20,1998,35.3,4.31,4.31,2.58,1.42,0.08,0.14,0.03,0.03,0.68,0.68,0.40,0.20,0.00,0.06,0.00,0.00,0.03,Matches
12,Alisson\Alisson,br BRA,GK,Liverpool,26,1992,28.3,0.14,0.14,0.14,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.04,0.00,0.00,0.00,0.00,0.00,0.00,Matches
13,Dele Alli\Dele-Alli,eng ENG,MFFW,Tottenham,23,1996,20.5,2.63,2.63,1.90,0.05,0.44,0.10,0.10,0.05,0.59,0.58,0.24,0.00,0.24,0.10,0.00,0.00,0.00,Matches
14,Miguel Almirón\Miguel-Almiron,py PAR,MFFW,Newcastle Utd,25,1994,33.6,2.38,2.38,1.73,0.00,0.21,0.15,0.21,0.09,0.06,0.06,0.06,0.00,0.00,0.00,0.00,0.00,0.00,Matches
15,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,28,1990,15.9,2.96,2.96,2.26,0.31,0.06,0.13,0.19,0.00,0.38,0.38,0.25,0.00,0.00,0.00,0.13,0.00,0.00,Matches
16,Steven Alzate\Steven-Alzate,co COL,MFDF,Brighton,20,1998,13.2,2.27,2.27,1.67,0.00,0.38,0.15,0.08,0.00,0.08,0.08,0.00,0.00,0.00,0.00,0.08,0.00,0.00,Matches
